,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,covididiot,1291413367618449415,./data_Boomer/covididiot/tweets1/EewFnSCX0AA6-W0.jpg,"@realDonaldTrump You're a complete failure. Kudos to @jonathanvswan for exposing you for the fraud that you are. #TrumpOwnsEveryDeath #TrumpIsALaughingStock #TrumpIsNotWell #COVIDIDIOT
#TrumpHasNoPlan #TraitorTrump #TrumpIsANationalDisgrace #TrumpIsACompleteFailure

 https://t.co/Z4Zz1POcMR https://t.co/zUN1CSYf8q",Reet ae mA ae Mo on President Trump Exclusive Interview Full Episode
1,covididiot,1291385315060580353,./data_Boomer/covididiot/tweets1/EevsGQcWAAYsz6m.jpg,"@realDonaldTrump WTF?!?! “It is what it is?”
#WorstPresidentEver #covididiot #TrumpVirus2020 #VoteTrumpOut #UnfitForOffice #DementiaDon https://t.co/vlp8dQVgCE",we IT IS
2,covididiot,1291203314353397761,./data_Boomer/covididiot/tweets1/EetFC0iWkAItpbz.png,"I just wanted to highlight one of the many hidden heroes in a job that is often overlooked when we think about Covid-19. Thank you Reginald Collins.

#COVID19 #COVIDIDIOT #BB22 #ConsequencesForTrump https://t.co/C9KwnMR32T",meso Bar Fe Khan DUET MO ale Hospital
3,covididiot,1291368991588589568,./data_Boomer/covididiot/tweets1/EevdQMKWkAA0FBX.jpg,@realDonaldTrump YOU &amp; your family are the swamp. You’ve had 4 yrs to “make America great again” &amp; you have failed. #TrumpVirus #TrumpSwamp #COVIDIDIOT #LockHimUp  #ObamaWasBetterAtEverything https://t.co/vvg4Dtyh3j,TRUMP ACCOMPLISHED ONE THING st GETTING
4,covididiot,1290675645522030594,./data_Boomer/covididiot/tweets1/EelmprKXkAAn_qO.jpg,"#TuesdayMorning #covididiot #TuesdayThoughts #Tuesday 

So much winning?!?! #WorstPresidentInHistory #VoteTrumpOut #TrumpVirus https://t.co/2B6CFH0AEe",on August Japan Ae LIKE WHEN YOUR PRESIDENT Tee Se Se DEMOCRAT FOR CONGRESS
5,covididiot,1290530193975709696,./data_Boomer/covididiot/tweets1/EejiXmjXsAEcE6c.jpg,@CoyleRollins @Mudsharkbytes @meschief_55 @JamesTodaroMD Don't forget to wash it down with a bleach cocktail too!😉#CovidIdiot #DarwinAwardWinner https://t.co/gfs6dXbZti,as
6,covididiot,1290360928131661825,./data_Boomer/covididiot/tweets1/EehIbLuUMAAGEp4.jpg,"@JoeBiden #CreepyJoe, YOU + #Democrats fought against @realDonaldTrump when he shut off travel from #China who poisoned #America w #COVID19. YOU would've let in 10s of thousands more infected #Chinese and #USA would've been overwhelmed. #ChinaLiedPeopleDied #ChinaVirus #COVIDIDIOT #COVID https://t.co/lLBiRZvAC7",WHICH DO YOU WANT ORB oe oes ers
7,covididiot,1291393022987567107,./data_Boomer/covididiot/tweets1/EevzHDfXkAAGRR9.jpg,"201,713 people confirmed positive 
3,984 people dead. 
#Coronavirus #Georgia
August 5, 2020

#Georgia #Republican Governor Kemp has been exceptionally great at constantly being a #covididiot https://t.co/zZt4ylMNyW",THE GOVERNOR
8,covididiot,1291155112954601476,./data_Boomer/covididiot/tweets1/EesauwPU8AEtXCo.jpg,🇺🇸🆘 Current #Oregon #COVIDIDIOT statistics ⬆️now over 1000 new cases a day #NoMasks https://t.co/0QcVSPblGb,bees on INN old White LATE
9,covididiot,1289356057702088704,./data_Boomer/covididiot/tweets1/EeS2frgU8AAz-r9.jpg,@realDonaldTrump #BREAKING #COVIDIdiot #TrumpVirusDeathToll150K AdmFocusOn #CV19 Treatment. #WOW2020! #Bleach #disinfectant. Now #TrumpKillsFlorida. Somebody #Help #Americans. Let's #Pray To #Jesus. #JesusSaves. #Amen.ThisIsNot #FridayFunnies.It's #Sadly #True. #VoteBlue #VoteBidenToSaveAmerica!! https://t.co/H0bH7vwfRU,WILL oe oe awa RIT
10,covididiot,1289350148263251969,./data_Boomer/covididiot/tweets1/EeSxHU4UEAEVtrT.jpg,@realDonaldTrump #BREAKING 4U #GestapoTrump: IfYouGetOff #Twitter &amp; TRY2 #DoYourJob perhaps #Americans CanEnjoy #progress. ButW/U #racist #COVIDIdiot #TrumpKillsFlorida #Texas; #Traitor for #Russian Gain= #TrumpKillsAmericans Bc #PutinOwnsTrump. #Resign W #respect&amp;AvoidBeing #Fired W #Humiliation https://t.co/8k8qiaL72V,fe ae iT on sen nae to the further spread of fun needless of
11,covididiot,1289782223260925952,./data_Boomer/covididiot/tweets1/EeY6FvIUYAARhpm.jpg,"#TrueChristianValuesHere #ChristianTerrorists #TurnTheOtherCheekAsshole, remember that Pastor? #ChristianHypocrites #AllReligionIsBullshit #BibleThumpingMorons #WhineyLittleBitch #AssholePastor #COVIDIDIOT https://t.co/kV2qLvwWuI https://t.co/00Lx3eaJik",pee
